what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1333515248552
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1333515248553
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1333515248554
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1333515248554
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1333515248555
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1333515248555
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1333515248555
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1333515248556
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1333515248557
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333515248557
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333515248558
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333515248558
os,sysinfo,,,"win32",1333515248561
arch,sysinfo,,,"x86_64",1333515248561
ws,sysinfo,,,"win32",1333515248561
locale,sysinfo,,,"pt_PT",1333515248561
processors,sysinfo,,,"6",1333515248561
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333515248561
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1333515248561
java.specification.name,sysinfo,,,"Java Platform API Specification",1333515248561
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333515248561
java.specification.version,sysinfo,,,"1.6",1333515248561
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1333515248561
java.version,sysinfo,,,"1.6.0_31",1333515248561
java.vm.info,sysinfo,,,"mixed mode",1333515248561
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333515248561
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333515248561
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333515248561
java.vm.specification.version,sysinfo,,,"1.0",1333515248561
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1333515248561
java.vm.version,sysinfo,,,"20.6-b01",1333515248561
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1333515248743
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333515308914
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333515311144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333515327667
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333515331713
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1333515331889
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333515336657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333515336726
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1333515348931
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333515349242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515349268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515349921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515362643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515363951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515368144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515376016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333515391608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516778427
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333516791538
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1333516799302
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516823885
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1333516830979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516831365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516831757
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1333516838935
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1333516845204
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333516853564
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516864991
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333516868749
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516869067
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1333516883500
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1333516883569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516894946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516912398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516914925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516916479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516918690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333516922798
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1333516926006
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1333516926087
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1333516926103
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516926277
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516926420
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333516929213
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1333516940615
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1333516940640
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1333516941784
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1333516948240
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1333516952425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1333516958724
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1333516962163
